('49280', (('11', '1.5', '1231676352'), 'Fantasy'))
('49280', (('49285', '2.0', '1441936978'), 'Fantasy'))
('49280', (('49285', '2.0', '1441936978'), 'Action'))
('49280', (('49285', '2.0', '1441936978'), 'Thriller'))
('5589', (('49538', '3.5', '1085543196'), 'Music'))
('5589', (('49538', '3.5', '1085543196'), 'Comedy'))
('5589', (('49538', '3.5', '1085543196'), 'Family'))
('5589', (('49569', '1.0', '1033006420'), 'Music'))
('5589', (('49569', '1.0', '1033006420'), 'Comedy'))
('5589', (('49569', '1.0', '1033006420'), 'Family'))
('49280', (('49710', '2.0', '1272303481'), 'Fantasy'))
('49280', (('49710', '2.0', '1272303481'), 'Action'))
('49280', (('49710', '2.0', '1272303481'), 'Thriller'))
('49280', (('50034', '3.5', '1189523356'), 'Fantasy'))
('49280', (('50034', '3.5', '1189523356'), 'Action'))
('49280', (('50034', '3.5', '1189523356'), 'Thriller'))
('5589', (('50783', '3.0', '1424552939'), 'Music'))
('5589', (('50783', '3.0', '1424552939'), 'Comedy'))
('5589', (('50783', '3.0', '1424552939'), 'Family'))
('49280', (('50783', '3.5', '1423907262'), 'Fantasy'))
('49280', (('50783', '3.5', '1423907262'), 'Action'))
('49280', (('50783', '3.5', '1423907262'), 'Thriller'))
('5589', (('50971', '2.0', '1159238167'), 'Music'))
('5589', (('50971', '2.0', '1159238167'), 'Comedy'))
('5589', (('50971', '2.0', '1159238167'), 'Family'))
('49280', (('51804', '4.0', '1197471075'), 'Fantasy'))
('49280', (('51804', '4.0', '1197471075'), 'Action'))
('49280', (('51804', '4.0', '1197471075'), 'Thriller'))
('49280', (('52019', '4.0', '1209423954'), 'Fantasy'))
('49280', (('52019', '4.0', '1209423954'), 'Action'))
('49280', (('52019', '4.0', '1209423954'), 'Thriller'))
('49280', (('52246', '3.0', '1449413732'), 'Fantasy'))
('49280', (('52246', '3.0', '1449413732'), 'Action'))
('49280', (('52246', '3.0', '1449413732'), 'Thriller'))
('49280', (('52263', '3.0', '1432827521'), 'Fantasy'))
('49280', (('52263', '3.0', '1432827521'), 'Action'))
('49280', (('52263', '3.0', '1432827521'), 'Thriller'))
('5589', (('52445', '3.0', '1069884918'), 'Music'))
('5589', (('52445', '3.0', '1069884918'), 'Comedy'))
('5589', (('52445', '3.0', '1069884918'), 'Family'))
('49280', (('53227', '3.5', '1292465416'), 'Fantasy'))
('49280', (('53227', '3.5', '1292465416'), 'Action'))
('49280', (('53227', '3.5', '1292465416'), 'Thriller'))
('5589', (('53770', '1.5', '1262395885'), 'Music'))
('5589', (('53770', '1.5', '1262395885'), 'Comedy'))
('5589', (('53770', '1.5', '1262395885'), 'Family'))
('5589', (('53846', '4.0', '1106853522'), 'Music'))
('5589', (('53846', '4.0', '1106853522'), 'Comedy'))
('5589', (('53846', '4.0', '1106853522'), 'Family'))
('49280', (('54388', '5.0', '1169328495'), 'Fantasy'))
('49280', (('54388', '5.0', '1169328495'), 'Action'))
('49280', (('54388', '5.0', '1169328495'), 'Thriller'))
('49280', (('54527', '3.0', '1174295248'), 'Fantasy'))
('49280', (('54527', '3.0', '1174295248'), 'Action'))
('49280', (('54527', '3.0', '1174295248'), 'Thriller'))
('49280', (('54712', '4.5', '1195629240'), 'Fantasy'))
('49280', (('54712', '4.5', '1195629240'), 'Action'))
('49280', (('54712', '4.5', '1195629240'), 'Thriller'))
('49280', (('54755', '4.5', '1165098813'), 'Fantasy'))
('49280', (('54755', '4.5', '1165098813'), 'Action'))
('49280', (('54755', '4.5', '1165098813'), 'Thriller'))
('49280', (('55075', '3.5', '1178504973'), 'Fantasy'))
('49280', (('55075', '3.5', '1178504973'), 'Action'))
('49280', (('55075', '3.5', '1178504973'), 'Thriller'))
('49280', (('55295', '3.0', '1236168872'), 'Fantasy'))
('49280', (('55295', '3.0', '1236168872'), 'Action'))
('49280', (('55295', '3.0', '1236168872'), 'Thriller'))
('49280', (('55336', '4.0', '1434855584'), 'Fantasy'))
('49280', (('55336', '4.0', '1434855584'), 'Action'))
('49280', (('55336', '4.0', '1434855584'), 'Thriller'))
('5589', (('55353', '2.0', '1267786711'), 'Music'))
('5589', (('55353', '2.0', '1267786711'), 'Comedy'))
('5589', (('55353', '2.0', '1267786711'), 'Family'))
('49280', (('55353', '4.0', '1321455938'), 'Fantasy'))
('49280', (('55353', '4.0', '1321455938'), 'Action'))
('49280', (('55353', '4.0', '1321455938'), 'Thriller'))
('5589', (('55501', '2.0', '1047094490'), 'Music'))
('5589', (('55501', '2.0', '1047094490'), 'Comedy'))
('5589', (('55501', '2.0', '1047094490'), 'Family'))
('49280', (('55563', '3.0', '1286421631'), 'Fantasy'))
('49280', (('55563', '3.0', '1286421631'), 'Action'))
('49280', (('55563', '3.0', '1286421631'), 'Thriller'))
('5589', (('55739', '5.0', '1036042788'), 'Music'))
('5589', (('55739', '5.0', '1036042788'), 'Comedy'))
('5589', (('55739', '5.0', '1036042788'), 'Family'))
('5589', (('55859', '3.0', '1031093506'), 'Music'))
('5589', (('55859', '3.0', '1031093506'), 'Comedy'))
('5589', (('55859', '3.0', '1031093506'), 'Family'))
('5589', (('56400', '3.0', '1059535768'), 'Music'))
('5589', (('56400', '3.0', '1059535768'), 'Comedy'))
('5589', (('56400', '3.0', '1059535768'), 'Family'))
('49280', (('56556', '3.5', '1267043390'), 'Fantasy'))
('49280', (('56556', '3.5', '1267043390'), 'Action'))
('49280', (('56556', '3.5', '1267043390'), 'Thriller'))
('5589', (('56649', '4.0', '1033145803'), 'Music'))
('5589', (('56649', '4.0', '1033145803'), 'Comedy'))
('5589', (('56649', '4.0', '1033145803'), 'Family'))
('49280', (('56954', '4.0', '1229266450'), 'Fantasy'))
('49280', (('56954', '4.0', '1229266450'), 'Action'))
('49280', (('56954', '4.0', '1229266450'), 'Thriller'))
('5589', (('56967', '4.0', '1195530474'), 'Music'))
('5589', (('56967', '4.0', '1195530474'), 'Comedy'))
('5589', (('56967', '4.0', '1195530474'), 'Family'))
('49280', (('57845', '3.0', '1179074363'), 'Fantasy'))
('49280', (('57845', '3.0', '1179074363'), 'Action'))
('49280', (('57845', '3.0', '1179074363'), 'Thriller'))
('49280', (('57854', '3.0', '1485996866'), 'Fantasy'))
('49280', (('57854', '3.0', '1485996866'), 'Action'))
('49280', (('57854', '3.0', '1485996866'), 'Thriller'))
('49280', (('58487', '4.0', '1181632695'), 'Fantasy'))
('49280', (('58487', '4.0', '1181632695'), 'Action'))
('49280', (('58487', '4.0', '1181632695'), 'Thriller'))
('5589', (('59666', '4.0', '1049051159'), 'Music'))
('5589', (('59666', '4.0', '1049051159'), 'Comedy'))
('5589', (('59666', '4.0', '1049051159'), 'Family'))
('49280', (('60183', '4.5', '1176278223'), 'Fantasy'))
('49280', (('60183', '4.5', '1176278223'), 'Action'))
('49280', (('60183', '4.5', '1176278223'), 'Thriller'))
('49280', (('61043', '3.5', '1422840034'), 'Fantasy'))
('49280', (('61043', '3.5', '1422840034'), 'Action'))
('49280', (('61043', '3.5', '1422840034'), 'Thriller'))
('5589', (('61161', '3.5', '1457351749'), 'Music'))
('5589', (('61161', '3.5', '1457351749'), 'Comedy'))
('5589', (('61161', '3.5', '1457351749'), 'Family'))
('49280', (('61316', '4.5', '1497713779'), 'Fantasy'))
('49280', (('61316', '4.5', '1497713779'), 'Action'))
('49280', (('61316', '4.5', '1497713779'), 'Thriller'))
('49280', (('61437', '3.5', '1195002653'), 'Fantasy'))
('49280', (('61437', '3.5', '1195002653'), 'Action'))
('49280', (('61437', '3.5', '1195002653'), 'Thriller'))
('49280', (('61488', '2.5', '1177685183'), 'Fantasy'))
('49280', (('61488', '2.5', '1177685183'), 'Action'))
('49280', (('61488', '2.5', '1177685183'), 'Thriller'))
('5589', (('62021', '3.0', '1067055412'), 'Music'))
('5589', (('62021', '3.0', '1067055412'), 'Comedy'))
('5589', (('62021', '3.0', '1067055412'), 'Family'))
('49280', (('63058', '2.5', '1166157888'), 'Fantasy'))
('49280', (('63058', '2.5', '1166157888'), 'Action'))
('49280', (('63058', '2.5', '1166157888'), 'Thriller'))
('49280', (('63180', '4.0', '1203975649'), 'Fantasy'))
('49280', (('63180', '4.0', '1203975649'), 'Action'))
('49280', (('63180', '4.0', '1203975649'), 'Thriller'))
('5589', (('63284', '3.0', '1032717949'), 'Music'))
('5589', (('63284', '3.0', '1032717949'), 'Comedy'))
('5589', (('63284', '3.0', '1032717949'), 'Family'))
('49280', (('63572', '3.5', '1225729698'), 'Fantasy'))
('49280', (('63572', '3.5', '1225729698'), 'Action'))
('49280', (('63572', '3.5', '1225729698'), 'Thriller'))
('5589', (('63602', '2.0', '1036187366'), 'Music'))
('5589', (('63602', '2.0', '1036187366'), 'Comedy'))
('5589', (('63602', '2.0', '1036187366'), 'Family'))
('5589', (('63610', '4.0', '1100968819'), 'Music'))
('5589', (('63610', '4.0', '1100968819'), 'Comedy'))
('5589', (('63610', '4.0', '1100968819'), 'Family'))
('49280', (('63845', '3.5', '1246263582'), 'Fantasy'))
('49280', (('63845', '3.5', '1246263582'), 'Action'))
('49280', (('63845', '3.5', '1246263582'), 'Thriller'))
('49280', (('63864', '3.5', '1258594665'), 'Fantasy'))
('49280', (('63864', '3.5', '1258594665'), 'Action'))
('49280', (('63864', '3.5', '1258594665'), 'Thriller'))
('49280', (('63962', '4.0', '1201870017'), 'Fantasy'))
('49280', (('63962', '4.0', '1201870017'), 'Action'))
('49280', (('63962', '4.0', '1201870017'), 'Thriller'))
('5589', (('64136', '3.5', '1074631658'), 'Music'))
('5589', (('64136', '3.5', '1074631658'), 'Comedy'))
('5589', (('64136', '3.5', '1074631658'), 'Family'))
('5589', (('64221', '4.0', '1049745352'), 'Music'))
('5589', (('64221', '4.0', '1049745352'), 'Comedy'))
('5589', (('64221', '4.0', '1049745352'), 'Family'))
('49280', (('64918', '3.0', '1194801814'), 'Fantasy'))
('49280', (('64918', '3.0', '1194801814'), 'Action'))
('49280', (('64918', '3.0', '1194801814'), 'Thriller'))
('49280', (('65554', '4.0', '1186502388'), 'Fantasy'))
('49280', (('65554', '4.0', '1186502388'), 'Action'))
('49280', (('65554', '4.0', '1186502388'), 'Thriller'))
('49280', (('65616', '4.0', '1451259465'), 'Fantasy'))
('49280', (('65616', '4.0', '1451259465'), 'Action'))
('49280', (('65616', '4.0', '1451259465'), 'Thriller'))
('49280', (('65889', '0.5', '1167187928'), 'Fantasy'))
('49280', (('65889', '0.5', '1167187928'), 'Action'))
('49280', (('65889', '0.5', '1167187928'), 'Thriller'))
('49280', (('66218', '3.0', '1228333831'), 'Fantasy'))
('49280', (('66218', '3.0', '1228333831'), 'Action'))
('49280', (('66218', '3.0', '1228333831'), 'Thriller'))
('49280', (('66508', '3.0', '1438382324'), 'Fantasy'))
('49280', (('66508', '3.0', '1438382324'), 'Action'))
('49280', (('66508', '3.0', '1438382324'), 'Thriller'))
('5589', (('67571', '4.0', '1031794410'), 'Music'))
('5589', (('67571', '4.0', '1031794410'), 'Comedy'))
('5589', (('67571', '4.0', '1031794410'), 'Family'))
('49280', (('67671', '4.0', '1452796565'), 'Fantasy'))
('49280', (('67671', '4.0', '1452796565'), 'Action'))
('49280', (('67671', '4.0', '1452796565'), 'Thriller'))
('49280', (('67897', '4.5', '1165369770'), 'Fantasy'))
('49280', (('67897', '4.5', '1165369770'), 'Action'))
('49280', (('67897', '4.5', '1165369770'), 'Thriller'))
('49280', (('67934', '3.0', '1169466569'), 'Fantasy'))
('49280', (('67934', '3.0', '1169466569'), 'Action'))
('49280', (('67934', '3.0', '1169466569'), 'Thriller'))
('5589', (('67939', '4.0', '1041131841'), 'Music'))
('5589', (('67939', '4.0', '1041131841'), 'Comedy'))
('5589', (('67939', '4.0', '1041131841'), 'Family'))
('5589', (('69138', '4.0', '1032018360'), 'Music'))
('5589', (('69138', '4.0', '1032018360'), 'Comedy'))
('5589', (('69138', '4.0', '1032018360'), 'Family'))
('5589', (('69407', '4.0', '1059873792'), 'Music'))
('5589', (('69407', '4.0', '1059873792'), 'Comedy'))
('5589', (('69407', '4.0', '1059873792'), 'Family'))
('5589', (('69517', '4.0', '1031155567'), 'Music'))
('5589', (('69517', '4.0', '1031155567'), 'Comedy'))
('5589', (('69517', '4.0', '1031155567'), 'Family'))
('5589', (('70648', '3.0', '1283818606'), 'Music'))
('5589', (('70648', '3.0', '1283818606'), 'Comedy'))
('5589', (('70648', '3.0', '1283818606'), 'Family'))
('49280', (('70807', '4.0', '1182518059'), 'Fantasy'))
('49280', (('70807', '4.0', '1182518059'), 'Action'))
('49280', (('70807', '4.0', '1182518059'), 'Thriller'))
('49280', (('70993', '3.5', '1221170652'), 'Fantasy'))
('49280', (('70993', '3.5', '1221170652'), 'Action'))
('49280', (('70993', '3.5', '1221170652'), 'Thriller'))
('45527', (('71282', '2.0', '1290209327'), 'Action'))
('45527', (('71282', '2.0', '1290209327'), 'Mystery'))
('45527', (('71282', '2.0', '1290209327'), 'Thriller'))
('45527', (('71282', '2.0', '1290209327'), 'Horror'))
('5589', (('71431', '4.0', '1033680048'), 'Music'))
('5589', (('71431', '4.0', '1033680048'), 'Comedy'))
('5589', (('71431', '4.0', '1033680048'), 'Family'))
('49280', (('71871', '3.5', '1178816893'), 'Fantasy'))
('49280', (('71871', '3.5', '1178816893'), 'Action'))
('49280', (('71871', '3.5', '1178816893'), 'Thriller'))
('49280', (('72039', '4.0', '1164500451'), 'Fantasy'))
('49280', (('72039', '4.0', '1164500451'), 'Action'))
('49280', (('72039', '4.0', '1164500451'), 'Thriller'))
('5589', (('72229', '4.0', '1031084744'), 'Music'))
('5589', (('72229', '4.0', '1031084744'), 'Comedy'))
('5589', (('72229', '4.0', '1031084744'), 'Family'))
('49280', (('72978', '3.5', '1291560178'), 'Fantasy'))
('49280', (('72978', '3.5', '1291560178'), 'Action'))
('49280', (('72978', '3.5', '1291560178'), 'Thriller'))
('49280', (('73451', '3.5', '1227092894'), 'Fantasy'))
('49280', (('73451', '3.5', '1227092894'), 'Action'))
('49280', (('73451', '3.5', '1227092894'), 'Thriller'))
('49280', (('73605', '2.5', '1220951807'), 'Fantasy'))
('49280', (('73605', '2.5', '1220951807'), 'Action'))
('49280', (('73605', '2.5', '1220951807'), 'Thriller'))
('49280', (('74209', '4.5', '1214726631'), 'Fantasy'))
('49280', (('74209', '4.5', '1214726631'), 'Action'))
('49280', (('74209', '4.5', '1214726631'), 'Thriller'))
('5589', (('74275', '3.0', '1362927705'), 'Music'))
('5589', (('74275', '3.0', '1362927705'), 'Comedy'))
('5589', (('74275', '3.0', '1362927705'), 'Family'))
('49280', (('74275', '3.0', '1385148173'), 'Fantasy'))
('49280', (('74275', '3.0', '1385148173'), 'Action'))
('49280', (('74275', '3.0', '1385148173'), 'Thriller'))
('5589', (('74302', '3.5', '1076900883'), 'Music'))
('5589', (('74302', '3.5', '1076900883'), 'Comedy'))
('5589', (('74302', '3.5', '1076900883'), 'Family'))
('5589', (('74466', '3.5', '1138217940'), 'Music'))
('5589', (('74466', '3.5', '1138217940'), 'Comedy'))
('5589', (('74466', '3.5', '1138217940'), 'Family'))
('49280', (('74473', '3.5', '1197500061'), 'Fantasy'))
('49280', (('74473', '3.5', '1197500061'), 'Action'))
('49280', (('74473', '3.5', '1197500061'), 'Thriller'))
('49280', (('74831', '3.5', '1251325299'), 'Fantasy'))
('49280', (('74831', '3.5', '1251325299'), 'Action'))
('49280', (('74831', '3.5', '1251325299'), 'Thriller'))
('49280', (('75117', '3.5', '1220487892'), 'Fantasy'))
('49280', (('75117', '3.5', '1220487892'), 'Action'))
('49280', (('75117', '3.5', '1220487892'), 'Thriller'))
('49280', (('75142', '2.5', '1180834462'), 'Fantasy'))
('49280', (('75142', '2.5', '1180834462'), 'Action'))
('49280', (('75142', '2.5', '1180834462'), 'Thriller'))
('49280', (('75396', '3.0', '1179651053'), 'Fantasy'))
('49280', (('75396', '3.0', '1179651053'), 'Action'))
('49280', (('75396', '3.0', '1179651053'), 'Thriller'))
('49280', (('75401', '4.0', '1165524108'), 'Fantasy'))
('49280', (('75401', '4.0', '1165524108'), 'Action'))
('49280', (('75401', '4.0', '1165524108'), 'Thriller'))
('49280', (('75638', '4.0', '1184002296'), 'Fantasy'))
('49280', (('75638', '4.0', '1184002296'), 'Action'))
('49280', (('75638', '4.0', '1184002296'), 'Thriller'))
('49280', (('76721', '4.0', '1234379708'), 'Fantasy'))
('49280', (('76721', '4.0', '1234379708'), 'Action'))
('49280', (('76721', '4.0', '1234379708'), 'Thriller'))
('49280', (('77042', '4.5', '1183780938'), 'Fantasy'))
('49280', (('77042', '4.5', '1183780938'), 'Action'))
('49280', (('77042', '4.5', '1183780938'), 'Thriller'))
('5589', (('77525', '3.5', '1098635023'), 'Music'))
('5589', (('77525', '3.5', '1098635023'), 'Comedy'))
('5589', (('77525', '3.5', '1098635023'), 'Family'))
('49280', (('77819', '3.5', '1176311525'), 'Fantasy'))
('49280', (('77819', '3.5', '1176311525'), 'Action'))
('49280', (('77819', '3.5', '1176311525'), 'Thriller'))
('49280', (('77872', '3.0', '1360282604'), 'Fantasy'))
('49280', (('77872', '3.0', '1360282604'), 'Action'))
('49280', (('77872', '3.0', '1360282604'), 'Thriller'))
('5589', (('78447', '3.5', '1442194820'), 'Music'))
('5589', (('78447', '3.5', '1442194820'), 'Comedy'))
('5589', (('78447', '3.5', '1442194820'), 'Family'))
('5589', (('78809', '3.0', '1168330647'), 'Music'))
('5589', (('78809', '3.0', '1168330647'), 'Comedy'))
('5589', (('78809', '3.0', '1168330647'), 'Family'))
('49280', (('78809', '3.0', '1168328646'), 'Fantasy'))
('49280', (('78809', '3.0', '1168328646'), 'Action'))
('49280', (('78809', '3.0', '1168328646'), 'Thriller'))
('5589', (('78856', '5.0', '1031258251'), 'Music'))
('5589', (('78856', '5.0', '1031258251'), 'Comedy'))
('5589', (('78856', '5.0', '1031258251'), 'Family'))
('5589', (('78971', '3.0', '1122772670'), 'Music'))
('5589', (('78971', '3.0', '1122772670'), 'Comedy'))
('5589', (('78971', '3.0', '1122772670'), 'Family'))
('5589', (('79042', '2.5', '1467029811'), 'Music'))
('5589', (('79042', '2.5', '1467029811'), 'Comedy'))
('5589', (('79042', '2.5', '1467029811'), 'Family'))
('49280', (('79042', '3.5', '1463051281'), 'Fantasy'))
('49280', (('79042', '3.5', '1463051281'), 'Action'))
('49280', (('79042', '3.5', '1463051281'), 'Thriller'))
('49280', (('79255', '4.5', '1243325124'), 'Fantasy'))
('49280', (('79255', '4.5', '1243325124'), 'Action'))
('49280', (('79255', '4.5', '1243325124'), 'Thriller'))
('5589', (('79823', '3.0', '1087682555'), 'Music'))
('5589', (('79823', '3.0', '1087682555'), 'Comedy'))
('5589', (('79823', '3.0', '1087682555'), 'Family'))
('5589', (('79915', '3.0', '1039183408'), 'Music'))
('5589', (('79915', '3.0', '1039183408'), 'Comedy'))
('5589', (('79915', '3.0', '1039183408'), 'Family'))
('49280', (('79988', '3.0', '1204775839'), 'Fantasy'))
('49280', (('79988', '3.0', '1204775839'), 'Action'))
('49280', (('79988', '3.0', '1204775839'), 'Thriller'))
('49280', (('80303', '4.0', '1231676304'), 'Fantasy'))
('49280', (('80303', '4.0', '1231676304'), 'Action'))
('49280', (('80303', '4.0', '1231676304'), 'Thriller'))
('49280', (('80325', '4.0', '1183038391'), 'Fantasy'))
('49280', (('80325', '4.0', '1183038391'), 'Action'))
('49280', (('80325', '4.0', '1183038391'), 'Thriller'))
('5589', (('80372', '3.5', '1313423618'), 'Music'))
('5589', (('80372', '3.5', '1313423618'), 'Comedy'))
('5589', (('80372', '3.5', '1313423618'), 'Family'))
('5589', (('80741', '4.0', '1232677744'), 'Music'))
('5589', (('80741', '4.0', '1232677744'), 'Comedy'))
('5589', (('80741', '4.0', '1232677744'), 'Family'))
('49280', (('81157', '3.5', '1263821514'), 'Fantasy'))
('49280', (('81157', '3.5', '1263821514'), 'Action'))
('49280', (('81157', '3.5', '1263821514'), 'Thriller'))
('49280', (('81477', '3.5', '1171582452'), 'Fantasy'))
('49280', (('81477', '3.5', '1171582452'), 'Action'))
('49280', (('81477', '3.5', '1171582452'), 'Thriller'))
('49280', (('81593', '3.5', '1446480125'), 'Fantasy'))
('49280', (('81593', '3.5', '1446480125'), 'Action'))
('49280', (('81593', '3.5', '1446480125'), 'Thriller'))
('49280', (('83312', '4.0', '1482247149'), 'Fantasy'))
('49280', (('83312', '4.0', '1482247149'), 'Action'))
('49280', (('83312', '4.0', '1482247149'), 'Thriller'))
('49280', (('83643', '4.5', '1242768118'), 'Fantasy'))
('49280', (('83643', '4.5', '1242768118'), 'Action'))
('49280', (('83643', '4.5', '1242768118'), 'Thriller'))
('49280', (('83768', '2.0', '1218862528'), 'Fantasy'))
('49280', (('83768', '2.0', '1218862528'), 'Action'))
('49280', (('83768', '2.0', '1218862528'), 'Thriller'))
('49280', (('83888', '4.0', '1283962294'), 'Fantasy'))
('49280', (('83888', '4.0', '1283962294'), 'Action'))
('49280', (('83888', '4.0', '1283962294'), 'Thriller'))
('5589', (('84047', '1.0', '1070556035'), 'Music'))
('5589', (('84047', '1.0', '1070556035'), 'Comedy'))
('5589', (('84047', '1.0', '1070556035'), 'Family'))
('5589', (('84439', '1.0', '1083853001'), 'Music'))
('5589', (('84439', '1.0', '1083853001'), 'Comedy'))
('5589', (('84439', '1.0', '1083853001'), 'Family'))
('5589', (('84594', '2.0', '1039368203'), 'Music'))
('5589', (('84594', '2.0', '1039368203'), 'Comedy'))
('5589', (('84594', '2.0', '1039368203'), 'Family'))
('49280', (('84664', '2.5', '1166059728'), 'Fantasy'))
('49280', (('84664', '2.5', '1166059728'), 'Action'))
('49280', (('84664', '2.5', '1166059728'), 'Thriller'))
('49280', (('84757', '4.5', '1176766303'), 'Fantasy'))
('49280', (('84757', '4.5', '1176766303'), 'Action'))
('49280', (('84757', '4.5', '1176766303'), 'Thriller'))
('49280', (('84913', '4.0', '1451010723'), 'Fantasy'))
('49280', (('84913', '4.0', '1451010723'), 'Action'))
('49280', (('84913', '4.0', '1451010723'), 'Thriller'))
('49280', (('84964', '3.0', '1196033465'), 'Fantasy'))
('49280', (('84964', '3.0', '1196033465'), 'Action'))
('49280', (('84964', '3.0', '1196033465'), 'Thriller'))
('49280', (('85373', '3.5', '1272932339'), 'Fantasy'))
('49280', (('85373', '3.5', '1272932339'), 'Action'))
('49280', (('85373', '3.5', '1272932339'), 'Thriller'))
('45527', (('86324', '3.0', '1250157735'), 'Action'))
('45527', (('86324', '3.0', '1250157735'), 'Mystery'))
('45527', (('86324', '3.0', '1250157735'), 'Thriller'))
('45527', (('86324', '3.0', '1250157735'), 'Horror'))
('5589', (('86633', '3.0', '1050882014'), 'Music'))
('5589', (('86633', '3.0', '1050882014'), 'Comedy'))
('5589', (('86633', '3.0', '1050882014'), 'Family'))
('49280', (('86701', '4.0', '1185248721'), 'Fantasy'))
('49280', (('86701', '4.0', '1185248721'), 'Action'))
('49280', (('86701', '4.0', '1185248721'), 'Thriller'))
('5589', (('86934', '3.0', '1093201689'), 'Music'))
('5589', (('86934', '3.0', '1093201689'), 'Comedy'))
('5589', (('86934', '3.0', '1093201689'), 'Family'))
('5589', (('87176', '3.0', '1033805302'), 'Music'))
('5589', (('87176', '3.0', '1033805302'), 'Comedy'))
('5589', (('87176', '3.0', '1033805302'), 'Family'))
('49280', (('87337', '3.5', '1361559666'), 'Fantasy'))
('49280', (('87337', '3.5', '1361559666'), 'Action'))
('49280', (('87337', '3.5', '1361559666'), 'Thriller'))
('5589', (('88424', '3.5', '1108285647'), 'Music'))
('5589', (('88424', '3.5', '1108285647'), 'Comedy'))
('5589', (('88424', '3.5', '1108285647'), 'Family'))
('49280', (('88901', '2.0', '1490067011'), 'Fantasy'))
('49280', (('88901', '2.0', '1490067011'), 'Action'))
('49280', (('88901', '2.0', '1490067011'), 'Thriller'))
('5589', (('89020', '3.5', '1277756114'), 'Music'))
('5589', (('89020', '3.5', '1277756114'), 'Comedy'))
('5589', (('89020', '3.5', '1277756114'), 'Family'))
('49280', (('89020', '3.5', '1341847720'), 'Fantasy'))
('49280', (('89020', '3.5', '1341847720'), 'Action'))
('49280', (('89020', '3.5', '1341847720'), 'Thriller'))
('5589', (('89258', '3.0', '1032355396'), 'Music'))
('5589', (('89258', '3.0', '1032355396'), 'Comedy'))
('5589', (('89258', '3.0', '1032355396'), 'Family'))
('49280', (('89258', '3.5', '1185200252'), 'Fantasy'))
('49280', (('89258', '3.5', '1185200252'), 'Action'))
('49280', (('89258', '3.5', '1185200252'), 'Thriller'))
('49280', (('89742', '4.5', '1189335126'), 'Fantasy'))
('49280', (('89742', '4.5', '1189335126'), 'Action'))
('49280', (('89742', '4.5', '1189335126'), 'Thriller'))
('5589', (('90400', '3.5', '1055957296'), 'Music'))
('5589', (('90400', '3.5', '1055957296'), 'Comedy'))
('5589', (('90400', '3.5', '1055957296'), 'Family'))
('49280', (('90640', '3.0', '1214024991'), 'Fantasy'))
('49280', (('90640', '3.0', '1214024991'), 'Action'))
('49280', (('90640', '3.0', '1214024991'), 'Thriller'))
('5589', (('91159', '3.5', '1107287788'), 'Music'))
('5589', (('91159', '3.5', '1107287788'), 'Comedy'))
('5589', (('91159', '3.5', '1107287788'), 'Family'))
('49280', (('91243', '4.0', '1165208694'), 'Fantasy'))
('49280', (('91243', '4.0', '1165208694'), 'Action'))
('49280', (('91243', '4.0', '1165208694'), 'Thriller'))
('49280', (('91459', '3.5', '1384229957'), 'Fantasy'))
('49280', (('91459', '3.5', '1384229957'), 'Action'))
('49280', (('91459', '3.5', '1384229957'), 'Thriller'))
('49280', (('91462', '3.0', '1180984107'), 'Fantasy'))
('49280', (('91462', '3.0', '1180984107'), 'Action'))
('49280', (('91462', '3.0', '1180984107'), 'Thriller'))
('49280', (('91818', '4.0', '1166081360'), 'Fantasy'))
('49280', (('91818', '4.0', '1166081360'), 'Action'))
('49280', (('91818', '4.0', '1166081360'), 'Thriller'))
('49280', (('92038', '4.0', '1302806370'), 'Fantasy'))
('49280', (('92038', '4.0', '1302806370'), 'Action'))
('49280', (('92038', '4.0', '1302806370'), 'Thriller'))
('49280', (('92126', '3.5', '1250490168'), 'Fantasy'))
('49280', (('92126', '3.5', '1250490168'), 'Action'))
('49280', (('92126', '3.5', '1250490168'), 'Thriller'))
('49280', (('92142', '2.5', '1453084280'), 'Fantasy'))
('49280', (('92142', '2.5', '1453084280'), 'Action'))
('49280', (('92142', '2.5', '1453084280'), 'Thriller'))
('5589', (('92519', '3.0', '1349411924'), 'Music'))
('5589', (('92519', '3.0', '1349411924'), 'Comedy'))
('5589', (('92519', '3.0', '1349411924'), 'Family'))
('49280', (('92568', '5.0', '1194406009'), 'Fantasy'))
('49280', (('92568', '5.0', '1194406009'), 'Action'))
('49280', (('92568', '5.0', '1194406009'), 'Thriller'))
('49280', (('92948', '0.5', '1182704128'), 'Fantasy'))
('49280', (('92948', '0.5', '1182704128'), 'Action'))
('49280', (('92948', '0.5', '1182704128'), 'Thriller'))
('5589', (('93266', '3.0', '1046142369'), 'Music'))
('5589', (('93266', '3.0', '1046142369'), 'Comedy'))
('5589', (('93266', '3.0', '1046142369'), 'Family'))
('49280', (('93453', '3.5', '1433584872'), 'Fantasy'))
('49280', (('93453', '3.5', '1433584872'), 'Action'))
('49280', (('93453', '3.5', '1433584872'), 'Thriller'))
('5589', (('93717', '3.0', '1041365732'), 'Music'))
('5589', (('93717', '3.0', '1041365732'), 'Comedy'))
('5589', (('93717', '3.0', '1041365732'), 'Family'))
('49280', (('93981', '3.0', '1210786005'), 'Fantasy'))
('49280', (('93981', '3.0', '1210786005'), 'Action'))
('49280', (('93981', '3.0', '1210786005'), 'Thriller'))
